rid,text,food,price,service,ambience,trainer
2653,"Buat yang suka nonton K-Drama pasti udah gak asing lagi sama cafe ini. Meskipun tempatnya remang-remang (bagian dalam) tapi cozy dan asik buat nongkrong sama teman-teman. Setiap weekday juga ada promo (beda-beda tiap hari). Ukuran bingsoo disini gede banget, jadi bisa buat sharing. Menu favorit saya disini oreo bingsoo, isinya ada oreo, red bean, ice cream gelato, susu dan dihiasi whipped cream&oreo",POSITIVE,-,-,POSITIVE,agung
881,"Makanan yg disajikan enak dan harganya gak mahal untuk kuantitas & kualitas yg disajikan.. Kalau ada waktu coba mampir ga bakal nyesel kok..,ini restoran india/pakistan favorit gw, pertama kali ke sini tempatnya cukup bingung nyarinya, kesan pertama waktu lihat tempatnya rada ngeri juga takut diculik,   tapi ternyata waktu coba makanannya langsung ga nyangka enak banget, nyebut namnay aj susah, tapi makannya ternyata gampang banget ditelennya saking enaknya, harganya pun cukup aman di kantong  pas di lidah aman di kantong, tipe makanan yang dicari",POSITIVE,POSITIVE,-,NEGATIVE,agung
315,"Kali ini mencoba AYCE di Kobeshi by shabu-shabu house.. Sangat tertarik gara2 ada all you can eat steak packagenya..untuk menu aycenya sendiri terbagi menjadi Classic, regular, deluxe, wagyu package.. Isi paketnya berbeda untuk steak dan menu pendampingnya.. Tetapi menu di bar & shabu-shabunya sama dapetnya..    Saya dan pacar memutuskan untuk mengambil regular package, steaknya australian beef & chicken steak.. Menu di barnya cukup bervariasi, ada cawan mushi, beef teriyaki, brown curry, dimsum, pasta, miso soup, shabu2, aneka gorengan, sushi, ice cream, cake & chocolate fondue..    Steaknya yg datang pertama-tama enak.. Mpuk n juicy cm agak tipis, pas order kedua kali agak alot :(, saucenya sendiri enak.. Untuk menu bar lainnya rasanya lumayan aja, ga terlalu enak, dan untuk menu dessertnya sendiri enak..    Imho, menunya banyak sekali variasinya, hanyasaja tastenya kurang berani, jadi rata2 makanannya agak tawar rasanya.",POSITIVE,-,-,-,agung
614,"Sudah datang lebih dari 5 kali ke sini dan yang bikin betah adalah atmosfer warmnya dan juga wifinya yang oke.    Best drink : cote cube. Always order this on every visit. Minumannya dari frozen coffee cube disiram sama warm whole milk. Rasanya enak banget    Pernah coba tuna sandwichnya juga. Bisa bikin kenyang, rasa biasa aja.    Sekarang tempat parkirnya lebih besar dan di dalam juga lebih banyak seats. Semoga menunya juga nambah lagi variasinya",POSITIVE,POSITIVE,-,POSITIVE,agung
2398,"Love this place! I always love healthy food that tastes good. And snctry delivers both! I ordered the mango sunshine (with granola), and it tastes superb!  The portion is quite big and costs around 45k. Totally worth it!    Hubby ordered watermelon mint juice (bottled) which tastes refreshingly good. 😍😍😍    The place is very small though, but we could sit at bao ji (chinese restaurants that serves snacks located in the same building with snctry)    Too bad this place is quite far from my house, otherwise I would frequently come here 😊😊",POSITIVE,POSITIVE,-,NEGATIVE,agung
725,"I like this establishment. Their coffees and cakes are good. However, compared to other similar cafè, Tanamera is one of the priciest. A small cup of latte is IDR 35K, small cakes are starting from IDR 30 K (eclair). cmiiw.    They have 2 floors with slightly different environment. They have island bar with 2 machines! If you are alone or with just one company, 2nd floor is better.    Note: you can ask for iced lemon water for free.     Overall, good place but slightly overpriced.",POSITIVE,NEGATIVE,-,POSITIVE,agung
1892,"Sushi groove di kota kasablanka ini tempatnya enak. Adanya emg indoor, tp disediain juga smoking roomnya. Pelayanannya cepet, ga hrs nunggu lama2. Semua pelayannya juga ramah kok, murah senyum. Nah kalo urusan makanannya, juara kok! Gue tdnya ga begitu fanatik sm sushi, tp disini sushinya buat gue sih enak. Enak parah!! Terus td juga pesen chicken teriyakinya, itu juga enak bgt kok, saladnya juga seger. Semua serba enak lah pokoknya👌👌👌👌",POSITIVE,POSITIVE,POSITIVE,POSITIVE,agung
517,"Fresh lobster, good food, great service and reasonable price. Great place to dine out with family and friends. Spacious sitting area to accommodate big parties.",POSITIVE,POSITIVE,POSITIVE,POSITIVE,agung
11,"Enak. Murah. Nagih.   Sate jepang lebih karena bumbunya mungkin ya kaya kushiyaki.. terus harus pesen onigiri tuna, gak suka tuna ada onigiri original nya kok. lebih prefer makan dimobil sih, mas nya mau nganter. soalnya kursinya juga dikit terus gelap. kalo kesini harus jam 7 biar cepet dapet dan gak keabisan onigirinya soalnya udh jam 8an rame banget dan ngantrinya lama kadang malah suka udah abis, apalagi kalo weekend. this is my best pocket friendly place.",POSITIVE,POSITIVE,POSITIVE,NEGATIVE,agung
468,"Semalem pertama kali nyobain mie tarik laiker disini karena liat tempat ini paling rame diantara resto lain. first impression sih tempatnya agak kurang meyakinkan bakal enak. But i'm totally wrong! Kemaren gue & keluarga nyobain mesen mie ala saus italy, mie ayam rica-rica, mie tarik goreng seafood sama mie tomyam dan rasanya itu worth it banget bre!!apalagi yg saus italy, itu bener-bener juara bgt dah, pas gue udah kelar makan dan lirik menu org juga pesen yg sama. Udah gitu porsinya bener-bener ngenyangin ( i think you know what i mean haha)   Ya at least gue puas bgt sama mie tarik ini. U guys must try it! Tapi kalo gue liat review2 lainnya maybe nyobanya jgn yg cabang disini karena emg agak kurang buat penataan tempat. But for the taste i give 4 rates! :)",POSITIVE,-,-,NEGATIVE,agung
